08/12/1999	1.0276
09/12/1999	1.0206
10/12/1999	1.0125
13/12/1999	1.0138
14/12/1999	1.0055
15/12/1999	1.0063
16/12/1999	1.0162
17/12/1999	1.0086
20/12/1999	1.0137
21/12/1999	1.0098
22/12/1999	1.0087
23/12/1999	1.0153
27/12/1999	1.0121
28/12/1999	1.0066
29/12/1999	1.004
30/12/1999	1.0066
31/12/1999	1.0088
03/01/2000	1.0088
04/01/2000	1.0301
05/01/2000	1.0315
06/01/2000	1.0315
07/01/2000	1.0296
10/01/2000	1.0254
11/01/2000	1.0331
12/01/2000	1.0308
13/01/2000	1.0252
14/01/2000	1.0142
18/01/2000	1.0135
19/01/2000	1.0125
20/01/2000	1.0175
21/01/2000	1.0085
24/01/2000	1.007
25/01/2000	1.0009
26/01/2000	1.0014
27/01/2000	0.9882
28/01/2000	0.9769
31/01/2000	0.9688
01/02/2000	0.9721
02/02/2000	0.9765
03/02/2000	0.99
04/02/2000	0.9821
07/02/2000	0.98
08/02/2000	0.986
09/02/2000	0.9927
10/02/2000	0.9851
11/02/2000	0.9866
14/02/2000	0.98
15/02/2000	0.981
16/02/2000	0.9865
17/02/2000	0.988
18/02/2000	0.9848
22/02/2000	1.0037
23/02/2000	1.0034
24/02/2000	0.9924
25/02/2000	0.9744
28/02/2000	0.9714
29/02/2000	0.9645
01/03/2000	0.9732
02/03/2000	0.9651
03/03/2000	0.9582
06/03/2000	0.9586
07/03/2000	0.9581
08/03/2000	0.9607
09/03/2000	0.9667
10/03/2000	0.9632
13/03/2000	0.9633
14/03/2000	0.9681
15/03/2000	0.9668
16/03/2000	0.969
17/03/2000	0.9718
20/03/2000	0.9729
21/03/2000	0.9608
22/03/2000	0.9606
23/03/2000	0.9715
24/03/2000	0.9753
27/03/2000	0.9671
28/03/2000	0.9594
29/03/2000	0.9512
30/03/2000	0.9615
31/03/2000	0.9554
03/04/2000	0.9555
04/04/2000	0.9592
05/04/2000	0.9623
06/04/2000	0.9583
07/04/2000	0.9545
10/04/2000	0.9623
11/04/2000	0.959
12/04/2000	0.9587
13/04/2000	0.9528
14/04/2000	0.962
17/04/2000	0.9523
18/04/2000	0.9453
19/04/2000	0.9401
20/04/2000	0.9383
